ID,Modelo,Cor,Preço (R$),Data da Venda
1,Speedster 300,Azul,2450,03/02/2025
2,Mountain Pro,Preto,3299,14/03/2025
3,Urban Lite,Vermelho,1890,22/03/2025
4,Speedster 300,Verde,2450,28/03/2025
5,Mountain Pro,Branco,3299,03/04/2025
6,Urban Lite,Azul,1890,07/04/2025
7,Adventure XT,Cinza,2720,10/04/2025
8,Speedster 300,Preto,2450,15/04/2025
9,Mountain Pro,Azul,3299,16/04/2025
10,Adventure XT,Verde,2720,18/04/2025
11,Urban Lite,Branco,1890,
12,Adventure XT,Preto,2720,28/04/2025
13,Speedster 300,Vermelho,2450,02/05/2025
14,Mountain Pro,Cinza,3299,
15,Adventure XT,Azula,2720,16/05/2025
16,Urban Lite,Verde,1890,20/05/2025
17,Speedster 300,Branco,2450,25/05/2025
18,Mountain Pro,Vermelho,3299,29/05/2025
19,Adventure XT,Branco,2720,02/06/2025
20,Urban Lite,Cinzos,1890,03/06/2025
